# 2003 081 13:15:05 1.0025 03081131505 11320000 010000 60C3104 01121 120 908 4151 324 002 1229
#            Time      Freq     Range  Polarize     Noise   Doppler        Az        Zn  Ampltude     Phase
2003 081 13:15:05    1.1225   345.000   -90.000    12.000     3.125     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.1225   350.000   -90.000    12.000     3.125     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.1225   355.000   -90.000    12.000     3.125     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.1225   360.000   -90.000    12.000     3.125     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   365.000   -90.000    12.000     3.125     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.1225   370.000   -90.000    12.000     3.125     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.1225   375.000   -90.000    12.000     3.125     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.1225   380.000   -90.000    12.000     3.125     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   385.000   -90.000    12.000     3.125     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.1225   390.000   -90.000    12.000     3.125     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   395.000   -90.000    12.000     3.125     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   400.000   -90.000    12.000     3.125     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.1225   405.000   -90.000    12.000     3.125     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.1225   410.000   -90.000    12.000     3.125     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   415.000   -90.000    12.000     3.125     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   420.000   -90.000    12.000     3.125     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.1225   425.000   -90.000    12.000     3.125     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   430.000   -90.000    12.000     3.125     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   435.000   -90.000    12.000     3.125     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   440.000   -90.000    12.000    -3.125     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   445.000   -90.000    12.000     3.125     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   450.000   -90.000    12.000     3.125     0.000     0.000    78.000     0.000
2003 081 13:15:05    1.1225   455.000   -90.000    12.000    -3.125     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   460.000   -90.000    12.000    -3.125     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   465.000   -90.000    12.000     3.125     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   470.000   -90.000    12.000    -3.125     0.000     0.000    72.000     0.000
2003 081 13:15:05    1.1225   475.000   -90.000    12.000    -3.125     0.000     0.000    72.000     0.000
